seller_id,pedidos,media_dias_atraso,percentual_atraso
4342d4b2ba6b161468c63a7e7cfce593,20,3.00,50.00
821fb029fc6e495ca4f08a35d51e53a5,28,2.48,33.33
ede0c03645598cdfc63ca8237acbe73d,46,3.30,32.56
ad781527c93d00d89a11eecd9dcad7c1,44,3.97,31.58
b19f3ca2ea475913750f25a5c37c8d8f,24,3.21,31.58
54965bbe3e4f07ae045b90b0b8541f52,78,8.77,30.14
054694fa03fe82cec4b7551487331d74,21,10.00,30.00
7f152321c60a266edc53af1925ef96c1,20,5.15,30.00
f76a3b1349b6df1ee875d1f3fa4340f0,24,2.63,29.17
2a1348e9addc1af5aaa619b1a3679d6b,52,11.55,27.08
835f0f7810c76831d6c7d24c7a646d4d,44,1.52,26.19
1dfe5347016252a7884b694d4f10f5c4,21,1.65,25.00
4e5725ba188db8252977a4f0227bd462,22,3.13,23.81
beadbee30901a7f61d031b6b686095ad,64,1.57,23.44
a49928bcdf77c55c6d6e05e09a9b4ca5,98,1.89,21.88
ef990a83bbea832f36ebe81376335aa8,43,1.64,20.93
712e6ed8aa4aa1fa65dab41fed5737e4,79,3.94,20.78
3fd1e727ba94cfe122d165e176ce7967,37,1.67,20.00
71039d19d4303bf9054d69e9a9236699,35,1.16,20.00
66e0557ecc2b4dbea057e93f215f68d8,31,1.80,20.00
6ec1a01e866584bb679eb9b098345919,31,2.19,20.00
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,1.95,20.00
06a2c3af7b3aee5d69171b0e14f0ee87,392,1.49,19.02
002100f778ceb8431b7a1020ff7ab48f,51,1.24,18.00
ea566164622c6b439516ab18062c42cd,50,1.44,18.00
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,5.95,17.57
6039e27294dc75811c0d8a39069f52c0,64,1.59,17.46
850913d59ce317156b00f3705f1c3edb,32,0.83,17.24
ec8879960bd2221d5c32f8e12f7da711,36,1.37,17.14
dd55f1bb788714a40e7954c3be6df745,35,2.16,17.14
88460e8ebdecbfecb5f9601833981930,248,1.60,17.07
1ca7077d890b907f89be8c954a02686a,115,0.83,16.67
602044f2c16190c2c6e45eb35c2e21cb,50,1.71,16.67
abe42c5d03695b4257b5c6cbf4e6784e,50,2.14,16.33
d20b021d3efdf267a402c402a48ea64b,90,2.56,16.28
3c03b12bab54d8b37d79d914bfdb1aa0,37,1.33,16.22
bbad7e518d7af88a0897397ffdca1979,69,2.19,16.18
b17b679f4f5ce2e03ce6968c62648246,55,1.43,16.00
0b35c634521043bf4b47e21547b99ab5,51,2.74,16.00
3b872fd4747f01cc56206f2934198618,25,1.00,16.00
05f51e13da97139648b8125c31e5f51b,60,1.30,15.79
f593898ec748b7a8cb81fc04edafd98a,20,1.27,15.79
e5a3438891c0bfdb9394643f95273d8e,224,1.80,15.74
2a261b5b644fa05f4f2700eb93544f2c,51,1.77,15.69
cd68562d3f44870c08922d380acae552,125,1.81,15.57
c60b801f2d52c7f7f91de00870882a75,41,1.21,15.38
0bf0150d5b9d60d9cd2906003332f085,39,2.18,15.38
e0878efa0e0b7e5313ac0b43bc04c081,27,1.71,15.38
2c9e548be18521d1c43cde1c582c6de8,126,2.78,15.32
d93919c944be9cff128f6c9cb899eacb,33,3.55,15.15
f08c008c8a8d31417763738a1788a2a8,22,5.67,15.00
1a932caad4f9d804097d7f8e615baed1,20,0.60,15.00
f918546be4bec7104d117789ba758b2b,20,1.22,15.00
4aba391bc3b88717ce08eb11e44937b2,29,2.14,14.81
e96498ed8daaa3e9c23f7a62da76591c,34,1.41,14.71
834f8533b2ecb6598dd004ff3de7203a,43,1.73,14.63
6973a06f484aacf400ece213dbf3d946,95,1.02,14.61
8b9d6eec4a7eb7d0f9d579ce0b38324d,49,0.83,14.58
11bfa66332777660bd0640ee84d47006,76,1.55,14.47
0ed6ce5d87fd9c69eaacaeb778d67235,43,1.33,14.29
d97df38225e5abadaff1e72cb72b823c,29,1.68,14.29
57c764b4a836300be881e2ff86e449f9,29,0.62,14.29
28f10b1c5e5abb9d4857745bede6147c,28,0.71,14.29
2156f2671501a81034d7d07f217609d0,22,1.00,14.29
891071be6ba827b591264c90c2ae8a63,92,1.30,14.12
b561927807645834b59ef0d16ba55a24,85,1.91,14.12
50c9975695009e5e6473912e83a6d1da,50,0.76,14.00
900ba814c251a692506d7834c1218441,88,0.83,13.95
e2aee0892199b1d92530e371abd825bf,38,0.82,13.89
431af27f296bc6519d890aa5a05fdb11,117,1.37,13.79
323ce52b5b81df2cd804b017b7f09aa7,30,1.86,13.79
f7ba60f8c3f99e7ee4042fdef03b70c4,219,1.32,13.76
8160255418d5aaa7dbdc9f4c64ebda44,385,1.87,13.68
adbc26658d6c7b4b6219f9d934598091,88,1.78,13.64
7139dc5186aa238b006e066d8fbab2e4,22,1.79,13.64
7b1222c3624aa89b9558b50a2594188c,22,0.68,13.64
6fd52c528dcb38be2eea044946b811f8,67,0.56,13.43
b74d1c09cb380e1d03a6f859c6f4224b,31,0.47,13.33
c8467937e403e76a8ee9f0ab13f6f5ef,30,0.76,13.33
440dd6ab244315c632130ecfb63827b1,94,1.51,13.19
8e6d7754bc7e0f22c96d255ebda59eba,85,1.16,13.10
ff1fb4c404b2efe68b03350a8dc24122,46,0.41,13.04
d71d863e5ef30d94e440c11be17dcd8f,29,1.13,13.04
681fce914360217db47784ae28905a96,23,0.50,13.04
23a0ffca143a15b9b5bbdb7d552f626a,23,0.71,13.04
b499c00f28f4b7069ff6550af8c1348a,152,0.97,12.93
7ad32824caee82087b3e2e5f33b1bf32,151,0.92,12.93
070d165398b553f3b4b851c216b8a358,32,1.11,12.90
cee48807215b30a12ca2ca10ffb5f250,39,1.03,12.82
855668e0971d4dfd7bef1b6a4133b41b,312,1.38,12.67
2e90cb1677d35cfe24eef47d441b7c87,127,0.58,12.60
8f2ce03f928b567e3d56181ae20ae952,153,1.16,12.58
e89c4adbe7b1d0819dbb636e16461cf1,24,1.88,12.50
7ecd59e5e20407131822c1a68ac59c1f,24,0.66,12.50
dd7ddc04e1b6c2c614352b383efe2d36,122,0.85,12.40
75d34ebb1bd0bd7dde40dd507b8169c3,62,1.39,12.28
fffd5413c0700ac820c7069d66d98c89,60,0.67,12.28
2089a6d640999f9b9141ac719b2af596,44,1.51,12.20
23c38debaffe4a25a30fdbd9b586a13f,41,0.52,12.20
b1fc4f64df5a0e8b6913ab38803c57a9,107,0.53,12.15
d3f39f05462b79a4562d35893a28f159,34,1.84,12.12
0ffa40d54288e4f3499b8780dd0f144f,33,0.83,12.12
1eade46fba20122dc4aefb379f8c636b,58,1.67,12.07
ba143b05f0110f0dc71ad71b4466ce92,85,0.92,12.05
048c2757535328e0d7dac690ad3c0aae,51,1.42,12.00
a6fe7de3d16f6149ffe280349a8535a0,51,0.90,12.00
2709af9587499e95e803a6498a5a56e9,26,1.74,12.00
15aac934c58d886785ac1b17953ea898,25,2.77,12.00
b2479f944e1b90cf8a5de1bbfde284d6,103,1.27,11.88
0d85bbda9889ce1f7e63778d24f346eb,51,1.38,11.76
392e0502231ae2f8b29994ef6398cd77,20,2.06,11.76
f3da5b2ff499efb8d4a6d371d175d7dd,79,1.62,11.69
34056b8b55c1775a22af2331670a799c,78,0.62,11.69
7aa4334be125fcdd2ba64b3180029f14,217,1.14,11.68
c31eff8334d6b3047ed34bebd4d62c36,122,0.33,11.67
b18dc380845b24038cfc48006478f099,44,0.81,11.63
7e1fb0a3ebfb01ffb3a7dae98bf3238d,159,0.96,11.61
3771c85bac139d2344864ede5d9341e3,26,0.23,11.54
77a515caa36327151d1cc6c32a9f00e1,26,1.23,11.54
7d13fca15225358621be4086e1eb0964,565,1.28,11.47
6fc26fe110feebd80a433e1f012a84f9,35,0.43,11.43
11305281b50fff20ae8bb473f8e11876,35,0.68,11.43
b33e7c55446eabf8fe1a42d037ac7d6d,152,1.09,11.41
903037660cf848a717166eb7a06d616e,45,1.59,11.36
99a54764c341d5dc80b4a8fac4eba3fb,45,0.38,11.36
406822777a0b9eb5c50e442dd4cd3ec5,45,0.89,11.36
5058e8c1e82653974541e83690655b4a,63,1.48,11.29
e62b2d6ac10570a035a30bafcf01d263,62,1.62,11.29
f46490624488d3ff7ce78613913a7711,83,0.69,11.25
2eb70248d66e0e3ef83659f71b244378,202,0.99,11.23
59b22a78efb79a4797979612b885db36,125,0.95,11.20
972d0f9cf61b499a4812cf0bfa3ad3c4,83,1.00,11.11
99eaacc9e6046db1c82b163c5f84869f,66,0.82,11.11
