seller_id,seller_city,seller_state,pedidos,receita_produtos,receita_frete,percentual_atraso,media_dias_atraso,nota_media_review,percentual_reviews_baixos,classificacao_operacional
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,229472.63,20168.07,10.50,0.97,4.13,13.52,monitorar_padrao
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,358,222776.05,13080.63,3.45,0.34,4.13,12.08,monitorar_padrao
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,200472.92,35067.04,9.71,1.09,3.83,19.16,monitorar_padrao
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,194042.03,10042.70,9.17,1.00,4.34,10.50,monitorar_padrao
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,187923.89,51612.55,9.15,1.13,3.49,25.76,monitorar_padrao
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,336,176431.87,6322.18,4.70,0.84,4.21,11.94,monitorar_padrao
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,160236.57,24955.75,6.64,0.76,4.17,11.85,monitorar_padrao
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,141745.53,20902.85,5.24,0.67,4.24,10.65,monitorar_padrao
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,138968.55,33892.14,7.91,0.60,3.99,17.51,monitorar_padrao
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,135171.70,25430.98,6.11,0.52,4.16,11.42,monitorar_padrao
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,521,128111.19,11798.50,5.75,0.56,4.19,13.20,monitorar_padrao
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1854,123304.83,27960.94,5.28,0.41,3.94,17.30,monitorar_padrao
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,740,114774.50,14135.21,8.70,0.93,4.25,12.58,monitorar_padrao
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,565,113628.97,8632.05,11.47,1.31,4.02,17.47,monitorar_padrao
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,325,112155.53,13661.39,5.59,0.48,3.98,19.94,monitorar_padrao
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1404,106939.21,35165.77,8.86,0.94,4.13,14.25,monitorar_padrao
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1706,104288.42,25668.99,5.27,0.41,4.07,14.89,monitorar_padrao
a1043bafd471dff536d0c462352beb48,ilicinea,MG,718,101901.16,31844.09,4.99,0.44,4.22,10.91,monitorar_padrao
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1080,94914.20,22433.51,5.45,0.55,4.15,11.50,monitorar_padrao
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,79284.55,3905.10,7.27,1.00,4.42,7.83,monitorar_padrao
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,187,74004.62,5256.98,6.52,1.15,4.28,11.83,monitorar_padrao
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,219,68395.00,4341.01,13.76,1.39,4.21,10.86,monitorar_padrao
fe2032dab1a61af8794248c8196565c9,campinas,SP,294,65959.61,4721.34,8.87,1.20,4.38,10.00,monitorar_padrao
8581055ce74af1daba164fdbd55a40de,guarulhos,SP,387,64925.30,9659.00,8.18,0.95,4.26,10.97,monitorar_padrao
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,712,64009.89,14371.40,4.86,0.71,3.85,20.11,monitorar_padrao
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,94,60130.60,3054.39,7.61,0.98,3.88,21.28,monitorar_padrao
522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,174,57168.49,4661.32,8.72,0.74,3.89,19.41,monitorar_padrao
17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,255,56363.24,5239.96,7.69,0.92,4.19,12.65,monitorar_padrao
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,334,55578.57,7946.72,8.31,1.01,3.96,17.17,monitorar_padrao
de722cd6dad950a92b7d4f82673f8833,recife,PE,339,55426.10,9686.65,3.56,0.28,4.29,9.50,monitorar_padrao
37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,272,55350.55,6083.33,2.60,0.24,4.32,9.52,monitorar_padrao
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,388,55093.28,7644.26,8.64,1.10,4.16,13.14,monitorar_padrao
25c5c91f63607446a97b143d2d535d31,itauna,MG,158,54679.22,7000.11,7.05,0.53,3.82,20.63,monitorar_padrao
f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,117,53201.78,4239.16,7.08,0.96,4.23,11.97,monitorar_padrao
ceaec5548eefc6e23e6607c5435102e7,sao paulo,SP,203,52917.18,6331.84,5.05,0.57,4.15,12.56,monitorar_padrao
b2ba3715d723d245138f291a6fe42594,sao paulo,SP,337,51676.88,6496.14,6.79,0.65,4.10,14.67,monitorar_padrao
