estado_cliente,pedidos,pedidos_entregues,media_dias_entrega,media_dias_ate_aprovacao,media_dias_ate_transportadora,media_dias_transporte_cliente,media_dias_atraso,percentual_atraso
AL,413,397,24.50,0.57,2.85,21.07,2.04,21.41
MA,747,717,21.51,0.69,2.90,17.94,1.83,17.43
SE,350,335,21.46,0.54,3.11,17.89,2.47,15.22
PI,495,476,19.39,0.52,2.65,16.25,1.85,13.87
CE,1336,1279,21.20,0.52,2.81,17.89,2.09,13.76
RR,46,41,29.34,1.26,3.24,25.61,4.44,12.20
BA,3380,3256,19.28,0.57,2.72,15.99,1.46,12.16
RJ,12852,12353,15.24,0.46,2.85,11.94,1.64,12.10
PA,975,946,23.73,0.60,2.87,20.26,1.44,11.21
ES,2033,1995,15.72,0.52,2.84,12.35,1.21,10.73
PB,536,517,20.39,0.64,2.81,16.91,1.08,10.44
TO,280,274,17.60,0.64,2.80,14.19,0.64,9.85
MS,715,701,15.54,0.54,2.60,12.41,0.81,9.70
PE,1652,1593,18.40,0.52,2.73,15.14,1.15,9.60
RN,485,474,19.22,0.52,3.03,15.67,1.34,9.28
SC,3637,3547,14.91,0.58,2.76,11.58,0.68,8.20
GO,2020,1957,15.54,0.62,2.54,12.38,0.74,6.54
RS,5466,5344,15.25,0.61,2.63,12.03,0.62,6.08
MT,907,886,18.00,0.67,2.50,14.88,0.64,5.98
DF,2140,2080,12.90,0.50,2.69,9.74,0.42,5.67
MG,11635,11355,11.95,0.51,2.73,8.72,0.39,4.58
SP,41746,40495,8.70,0.50,2.66,5.56,0.37,4.49
PR,5045,4923,11.94,0.56,2.66,8.73,0.34,4.04
AC,81,80,21.00,0.70,2.75,17.51,0.70,3.75
AP,68,67,27.18,0.72,2.75,23.72,2.16,2.99
RO,253,243,19.28,0.67,2.15,16.46,0.16,2.88
AM,148,145,26.36,0.47,2.45,23.44,0.83,2.76
