categoria_ingles,pedidos_avaliados,nota_media,percentual_reviews_baixos
fashion_male_clothing,111,3.64,28.24
office_furniture,1263,3.49,26.08
fixed_telephony,214,3.68,25.57
party_supplies,39,3.77,23.26
unknown,1439,3.84,22.09
audio,347,3.83,21.88
furniture_mattress_and_upholstery,38,3.82,21.05
home_confort,395,3.83,20.23
construction_tools_safety,166,3.84,20.21
furniture_decor,6398,3.91,19.46
bed_bath_table,9313,3.90,18.96
computers_accessories,6649,3.93,18.61
art,200,3.94,18.36
furniture_living_room,417,3.90,18.13
fashio_female_clothing,39,3.78,18.00
home_construction,487,3.94,17.83
air_conditioning,249,3.97,17.81
fashion_underwear_beach,120,3.98,17.69
costruction_tools_garden,194,4.05,17.50
dvds_blu_ray,58,4.08,17.46
telephony,4168,3.95,16.85
baby,2861,4.01,16.70
furniture_bedroom,95,4.11,16.36
watches_gifts,5576,4.02,16.25
garden_tools,3496,4.05,16.08
agro_industry_and_commerce,182,4.00,16.04
electronics,2531,4.04,15.75
kitchen_dining_laundry_garden_furniture,246,3.97,15.71
housewares,5843,4.05,15.64
consoles_games,1052,4.02,15.35
auto,3877,4.06,15.26
construction_tools_construction,743,4.05,15.12
cine_photo,65,4.19,15.07
drinks,296,4.04,14.59
sports_leisure,7669,4.11,14.58
perfumery,3150,4.17,14.56
construction_tools_lights,241,4.05,14.53
christmas_supplies,126,4.02,14.38
small_appliances,624,4.15,14.33
market_place,278,4.02,14.24
musical_instruments,622,4.15,14.07
health_beauty,8771,4.14,13.70
tablets_printing_image,77,4.12,13.58
industry_commerce_and_business,233,4.10,13.53
toys,3853,4.16,13.49
cool_stuff,3599,4.15,13.12
stationery,2295,4.20,13.08
computers,178,4.18,13.00
pet_shop,1701,4.18,12.94
food,445,4.22,12.93
fashion_bags_accessories,1854,4.15,12.70
home_appliances_2,232,4.14,12.61
fashion_shoes,236,4.24,12.26
home_appliances,761,4.17,12.03
signaling_and_security,138,4.09,11.68
books_imported,53,4.40,11.67
books_technical,257,4.36,10.90
small_appliances_home_oven_and_coffee,75,4.30,10.53
music,38,4.21,10.53
luggage_accessories,1030,4.32,9.65
books_general_interest,508,4.45,8.56
costruction_tools_tools,94,4.44,8.08
food_drink,226,4.31,7.89
