estado_cliente,pedidos_avaliados,nota_media,percentual_reviews_baixos
RR,46,3.61,23.91
MA,742,3.76,21.72
AL,410,3.76,23.91
SE,349,3.81,21.78
CE,1326,3.85,19.86
PA,962,3.85,19.63
BA,3340,3.86,18.89
RJ,12687,3.88,20.74
PI,490,3.92,18.33
PE,1635,4.01,16.65
PB,530,4.02,16.57
GO,2007,4.04,14.82
ES,2006,4.04,14.88
RO,252,4.05,15.48
AC,81,4.05,16.05
SC,3609,4.07,14.68
DF,2128,4.07,15.04
MT,900,4.10,13.73
TO,279,4.10,13.62
MS,713,4.11,14.36
RN,480,4.11,14.11
RS,5443,4.13,13.35
MG,11554,4.14,13.30
SP,41472,4.17,12.63
PR,5019,4.18,12.49
AP,67,4.19,7.46
AM,146,4.21,14.97
